image_path,fold,group_id
train/ID1011485656.jpg,2,Tas_04-09-2015
train/ID1012260530.jpg,2,NSW_01-04-2015
train/ID1025234388.jpg,1,WA_01-09-2015
train/ID1028611175.jpg,0,Tas_18-05-2015
train/ID1035947949.jpg,4,Tas_11-09-2015
train/ID1036339023.jpg,2,Vic_30-09-2015
train/ID1049634115.jpg,4,Vic_02-07-2015
train/ID1051144034.jpg,1,WA_01-09-2015
train/ID1052620238.jpg,0,Tas_18-05-2015
train/ID105271783.jpg,1,Vic_30-06-2015
train/ID1053972079.jpg,2,Tas_04-09-2015
train/ID1058383417.jpg,0,Tas_19-05-2015
train/ID1062837331.jpg,2,Vic_29-09-2015
train/ID1070112260.jpg,4,NSW_15-01-2015
train/ID1078930021.jpg,2,Vic_26-06-2015
train/ID1084819986.jpg,2,Tas_04-09-2015
train/ID1088965591.jpg,2,NSW_01-04-2015
train/ID1098771283.jpg,1,Tas_09-11-2015
train/ID1103883611.jpg,1,NSW_24-02-2015
train/ID1108283583.jpg,2,Vic_19-08-2015
train/ID1113121340.jpg,2,Vic_30-09-2015
train/ID1113329413.jpg,0,Tas_29-06-2015
train/ID1119739385.jpg,0,Tas_18-05-2015
train/ID1119761112.jpg,0,NSW_07-05-2015
train/ID1121692672.jpg,1,NSW_24-02-2015
train/ID1127246618.jpg,0,Tas_18-05-2015
train/ID112966473.jpg,3,Vic_14-08-2015
train/ID1131079710.jpg,1,Tas_09-11-2015
train/ID1136169672.jpg,0,Tas_18-05-2015
train/ID1139866256.jpg,0,NSW_07-05-2015
train/ID1139918758.jpg,3,WA_21-08-2015
train/ID1140993511.jpg,3,Vic_14-08-2015
train/ID1148528732.jpg,3,Vic_18-08-2015
train/ID1148666289.jpg,2,Vic_26-06-2015
train/ID1149598723.jpg,0,NSW_07-05-2015
train/ID1159071020.jpg,2,Vic_30-09-2015
train/ID1163061745.jpg,0,Tas_29-06-2015
train/ID1168534540.jpg,0,NSW_07-05-2015
train/ID1176292407.jpg,4,Tas_26-06-2015
train/ID1182523622.jpg,0,Tas_29-06-2015
train/ID1183807388.jpg,1,Tas_01-07-2015
train/ID1193692654.jpg,4,Tas_11-09-2015
train/ID1199150612.jpg,3,Tas_10-11-2015
train/ID1208644039.jpg,3,Vic_01-07-2015
train/ID1211362607.jpg,1,NSW_24-02-2015
train/ID121331988.jpg,0,NSW_07-05-2015
train/ID1215977190.jpg,0,Tas_18-05-2015
train/ID1217108125.jpg,0,Tas_29-06-2015
train/ID1237349078.jpg,3,Vic_13-10-2015
train/ID12390962.jpg,0,Tas_18-05-2015
train/ID1244346858.jpg,4,NSW_06-10-2015
train/ID1249094008.jpg,2,Vic_26-06-2015
train/ID1251029854.jpg,0,NSW_07-05-2015
train/ID1254829053.jpg,2,Vic_26-06-2015
train/ID1268934251.jpg,3,Vic_13-10-2015
train/ID1275072698.jpg,4,NSW_15-01-2015
train/ID1277756619.jpg,1,Tas_01-07-2015
train/ID1291116815.jpg,4,Vic_02-07-2015
train/ID1294770420.jpg,1,Tas_09-11-2015
train/ID1314135397.jpg,4,NSW_15-01-2015
train/ID13162390.jpg,3,Vic_14-08-2015
train/ID1337107565.jpg,3,WA_21-08-2015
train/ID1343327476.jpg,3,Vic_14-08-2015
train/ID1345375788.jpg,4,Tas_26-06-2015
train/ID135365668.jpg,2,Vic_26-06-2015
train/ID1354190372.jpg,3,Tas_10-11-2015
train/ID1357758282.jpg,4,NSW_15-01-2015
train/ID1357768767.jpg,1,NSW_25-02-2015
train/ID1370004842.jpg,4,NSW_06-10-2015
train/ID1374789439.jpg,3,Vic_01-07-2015
train/ID1385921939.jpg,0,NSW_07-05-2015
train/ID1386202352.jpg,0,Tas_19-05-2015
train/ID1395011773.jpg,3,Vic_13-10-2015
train/ID1403078396.jpg,2,Tas_04-09-2015
train/ID1403107574.jpg,3,WA_21-08-2015
train/ID1411613934.jpg,3,Vic_13-10-2015
train/ID141370843.jpg,3,Vic_14-08-2015
train/ID1413758094.jpg,2,Tas_04-09-2015
train/ID1414371018.jpg,3,Tas_10-11-2015
train/ID1415329644.jpg,2,NSW_01-04-2015
train/ID1421714468.jpg,2,Tas_04-09-2015
train/ID142751858.jpg,2,Vic_29-09-2015
train/ID1428837636.jpg,0,Tas_29-06-2015
train/ID1437386574.jpg,2,Vic_30-09-2015
train/ID1444674500.jpg,0,WA_08-07-2015
train/ID1450399782.jpg,4,Tas_11-09-2015
train/ID1451025862.jpg,3,Tas_10-11-2015
train/ID1456861072.jpg,4,Tas_26-06-2015
train/ID1457700382.jpg,2,NSW_01-04-2015
train/ID1458758610.jpg,4,NSW_06-10-2015
train/ID1463690813.jpg,2,NSW_01-04-2015
train/ID146920896.jpg,0,Tas_19-05-2015
train/ID1471216911.jpg,2,Vic_30-09-2015
train/ID1472525822.jpg,4,NSW_15-01-2015
train/ID1473228876.jpg,4,NSW_15-01-2015
train/ID1474775613.jpg,0,Tas_18-05-2015
train/ID147528735.jpg,4,NSW_15-01-2015
train/ID1476045099.jpg,3,Vic_14-08-2015
train/ID1477176296.jpg,3,Vic_14-08-2015
train/ID1488408526.jpg,1,NSW_25-02-2015
train/ID1496750796.jpg,3,Vic_14-08-2015
train/ID1498398599.jpg,2,Tas_04-09-2015
train/ID1509266870.jpg,3,Vic_14-08-2015
train/ID1510574031.jpg,4,Vic_14-10-2015
train/ID1512751450.jpg,4,Tas_11-09-2015
train/ID1513184765.jpg,4,Tas_26-06-2015
train/ID1515990019.jpg,0,Tas_03-09-2015
train/ID1516374298.jpg,0,WA_08-07-2015
train/ID152157478.jpg,2,Vic_29-09-2015
train/ID1525817840.jpg,3,Vic_18-08-2015
train/ID1540480250.jpg,1,NSW_24-02-2015
train/ID1545077474.jpg,1,Tas_09-11-2015
train/ID1547945326.jpg,0,Tas_03-09-2015
train/ID1559189397.jpg,0,NSW_07-05-2015
train/ID1563418511.jpg,1,NSW_24-02-2015
train/ID1570190541.jpg,1,Tas_09-11-2015
train/ID1573329652.jpg,4,NSW_15-01-2015
train/ID1574125908.jpg,1,NSW_24-02-2015
train/ID157479394.jpg,1,NSW_24-02-2015
train/ID1579942839.jpg,2,Tas_04-09-2015
train/ID158170916.jpg,3,Tas_10-11-2015
train/ID1590632667.jpg,1,Tas_09-11-2015
train/ID1618145129.jpg,3,Tas_10-11-2015
train/ID1618597318.jpg,0,Tas_03-09-2015
train/ID1620371305.jpg,2,Vic_30-09-2015
train/ID162394992.jpg,1,NSW_24-02-2015
train/ID1623964968.jpg,1,Tas_09-11-2015
train/ID1624268863.jpg,4,NSW_15-01-2015
train/ID1634731537.jpg,1,Tas_09-11-2015
train/ID1638922597.jpg,0,Tas_29-06-2015
train/ID1645161155.jpg,2,Tas_04-09-2015
train/ID1655778545.jpg,0,NSW_07-05-2015
train/ID1665142816.jpg,3,Vic_01-07-2015
train/ID1667778338.jpg,3,Vic_14-08-2015
train/ID1671844336.jpg,4,Tas_26-06-2015
train/ID1675365449.jpg,2,Vic_30-09-2015
train/ID1680597197.jpg,1,NSW_25-02-2015
train/ID1692894460.jpg,1,Tas_09-11-2015
train/ID1693880739.jpg,2,Vic_26-06-2015
train/ID1703304524.jpg,3,Tas_10-11-2015
train/ID1717006117.jpg,4,Vic_14-10-2015
train/ID1729002155.jpg,4,NSW_06-10-2015
train/ID1746343319.jpg,1,Tas_09-11-2015
train/ID1753847361.jpg,2,Vic_30-09-2015
train/ID1761544403.jpg,3,WA_21-08-2015
train/ID1781353117.jpg,0,Tas_18-05-2015
train/ID1782509721.jpg,4,NSW_06-10-2015
train/ID1782608354.jpg,1,WA_01-09-2015
train/ID1783499590.jpg,2,Vic_26-06-2015
train/ID1784585001.jpg,1,Tas_09-11-2015
train/ID1789265307.jpg,1,Tas_09-11-2015
train/ID1789834546.jpg,4,Vic_14-10-2015
train/ID1789853061.jpg,3,Vic_18-08-2015
train/ID1831254380.jpg,1,Tas_09-11-2015
train/ID1839139621.jpg,0,Tas_18-05-2015
train/ID1853508321.jpg,0,Tas_03-09-2015
train/ID1857489997.jpg,3,Vic_01-07-2015
train/ID1859251563.jpg,4,NSW_15-01-2015
train/ID1859792585.jpg,0,Tas_18-05-2015
train/ID1868719645.jpg,4,Vic_02-07-2015
train/ID187238869.jpg,2,Vic_29-09-2015
train/ID1874904894.jpg,3,Vic_13-10-2015
train/ID1876271942.jpg,1,NSW_24-02-2015
train/ID1880764911.jpg,0,Tas_18-05-2015
train/ID1888700589.jpg,0,WA_08-07-2015
train/ID1889150649.jpg,1,WA_01-09-2015
train/ID1894998379.jpg,3,Vic_13-10-2015
train/ID1899025384.jpg,4,Tas_26-06-2015
train/ID1920959057.jpg,4,Vic_02-07-2015
train/ID193102215.jpg,2,NSW_01-04-2015
train/ID1946311744.jpg,2,Vic_29-09-2015
train/ID194823383.jpg,0,WA_08-07-2015
train/ID1948354837.jpg,4,NSW_15-01-2015
train/ID1952813879.jpg,2,Vic_26-06-2015
train/ID1953171547.jpg,2,Tas_04-09-2015
train/ID1953218650.jpg,3,Tas_10-11-2015
train/ID1954669045.jpg,1,Vic_30-06-2015
train/ID1962197151.jpg,2,NSW_01-04-2015
train/ID1962379474.jpg,3,Tas_10-11-2015
train/ID1963715583.jpg,0,WA_08-07-2015
train/ID196516535.jpg,0,Tas_18-05-2015
