image_path,width,height,mode,channels,file_size_kb,sha256
train/ID1011485656.jpg,2000,1000,RGB,3,3457.519,d12c0780e46c1bba6500cb9f9cb88585cf62245aa33de41c02e4c7feba30f16a
train/ID1012260530.jpg,2000,1000,RGB,3,2994.079,5acf9ed4a0c6398edaf190aebb2dfaf33553549109fdfe88815d814b4a39e40b
train/ID1025234388.jpg,2000,1000,RGB,3,2538.002,70e537363549319508289b26f545680570469bc23fff18ec6ecdcb3fcbe7a68e
train/ID1028611175.jpg,2000,1000,RGB,3,3574.576,68050758e8b1499dabd4ee431dffb97a9f0daa534f1d15a1e1ab7697d7f83808
train/ID1035947949.jpg,2000,1000,RGB,3,3414.604,ecac18845cf257258bafbc85e6afd26f37ba734b6b993b23dc2152a87cd7399b
train/ID1036339023.jpg,2000,1000,RGB,3,3121.087,eb5bd4cdac92ab14c1aae6c9bbd1415aeaea3a22d689adf8de1d7c0d83088944
train/ID1049634115.jpg,2000,1000,RGB,3,3156.269,cc329d7027b370ce89babc7fa943a7cfedb0029f69e0f9a89aee18f7bfe55c2e
train/ID1051144034.jpg,2000,1000,RGB,3,2583.604,2d65e27a66cb168fb4f74804dcec796955eca706e8420f6502f1a441248b90da
train/ID1052620238.jpg,2000,1000,RGB,3,2926.871,20e983aa0648da578fb29f34d955d5e41b44846e5fef660bcd17c6e07f2c98ba
train/ID105271783.jpg,2000,1000,RGB,3,2628.164,5bf7beef41d2bee7b6b3ce65f75de1c498ab8380b3e05b1b32e8ede67610a8ac
train/ID1053972079.jpg,2000,1000,RGB,3,3072.863,58f75656bd3bbe340232535c66a2ab9a7886bc2cc7cb252a50461216e50a709d
train/ID1058383417.jpg,2000,1000,RGB,3,3788.096,c3f80a10f70a2f395a1e6ec5ef54cd359eff133cc3befced2cbba87b4924d3ba
train/ID1062837331.jpg,2000,1000,RGB,3,2747.209,dcda964510b64b21386db899a9878696dfb3414091bd04c29432438e4bec9449
train/ID1070112260.jpg,2000,1000,RGB,3,3407.976,ec2b8c51e412bb7cdc9a25036aac7458d25829a3a871db97fa5e361b887d1156
train/ID1078930021.jpg,2000,1000,RGB,3,2545.395,999e7c802901d222bb85b29f2afb0fae06a46c1da92ba1687d63d3039c95109b
train/ID1084819986.jpg,2000,1000,RGB,3,3011.324,144a1746e86bd4eb0fcadd6d611f132e3017677ee53b42af0fe1d1c4f4684ee8
train/ID1088965591.jpg,2000,1000,RGB,3,2586.477,23f28312ac2fc4449604753b66cd696c609d835a5877e20399b82f6104d629af
train/ID1098771283.jpg,2000,1000,RGB,3,2976.428,29f9468cc95c78419b45e45ad36e6884ad97a071dbbe98eb3f43d7e9bf9e76d0
train/ID1103883611.jpg,2000,1000,RGB,3,3177.741,b887f96e1c35e5f67435912c9f184a5aaa78b9d91cd4f51144ab2ed394a7180f
train/ID1108283583.jpg,2000,1000,RGB,3,3200.474,cbf0df9128d768ea7e321cc3774f78a3263bf764958ebe42549e0309ef136b54
train/ID1113121340.jpg,2000,1000,RGB,3,3082.769,7f028397a8088ac32ef73dfaced7c4fb13e2c41ce223bcb7300717736612147c
train/ID1113329413.jpg,2000,1000,RGB,3,3199.667,f238153628e3b512d5e6a7b0905c57c0546fa9cb42aa78d132a6e439f18daf0d
train/ID1119739385.jpg,2000,1000,RGB,3,3227.727,51b031df71db66aec2400e12162af75452ca04247a7c6611bbbd40220b3c3994
train/ID1119761112.jpg,2000,1000,RGB,3,3497.967,6ac561c3629958f543315c40d130d18155521cec50f96ff80c1271050ce7a292
